Lam og piggvar på bryllupsmenyen ||| SHIFT SHIFT ARC_L ARC_R SHIFT SHIFT ARC_L ARC_R ARC_R SHIFT
Man trenger ikke å være særlig genial for å forstå at dette henger sammen . ||| SHIFT ARC_L SHIFT ARC_R SHIFT SHIFT SHIFT SHIFT ARC_L ARC_L ARC_L SHIFT SHIFT SHIFT ARC_L ARC_L SHIFT SHIFT SHIFT ARC_L ARC_L SHIFT ARC_R ARC_R ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
Så langt har jeg ikke sett eller hørt ett eneste språkpolitisk argument for dubbing . ||| SHIFT ARC_L SHIFT SHIFT SHIFT SHIFT ARC_L ARC_L ARC_L ARC_L SHIFT SHIFT ARC_L SHIFT SHIFT SHIFT SHIFT ARC_L ARC_L ARC_L SHIFT SHIFT ARC_L ARC_R ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
- Selv om ikke det er språkpolitiske argumenter for dubbing , er det kulturpolitiske , sier Nils Stokke , programredaktør for NRK Super . ||| SHIFT SHIFT ARC_L SHIFT SHIFT SHIFT ARC_L ARC_L ARC_L SHIFT SHIFT ARC_L SHIFT SHIFT ARC_L ARC_R ARC_R SHIFT ARC_R SHIFT SHIFT SHIFT ARC_L ARC_L ARC_L ARC_L SHIFT ARC_R SHIFT SHIFT SHIFT ARC_R SHIFT ARC_R SHIFT SHIFT SHIFT ARC_L SHIFT ARC_R ARC_R ARC_R ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
- De får kanskje litt mindre språkkunnskap med dubbing , med de lærer veldig mye annet . ||| SHIFT SHIFT ARC_L ARC_L SHIFT ARC_R SHIFT SHIFT ARC_L SHIFT ARC_L SHIFT SHIFT ARC_L ARC_R ARC_R SHIFT ARC_R SHIFT SHIFT SHIFT ARC_L ARC_L SHIFT SHIFT ARC_L SHIFT ARC_L ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
Jeg er ikke opptatt av høye seertall , men jeg synes det er viktig at barna har et godt alternativ når de først ser på TV . ||| SHIFT SHIFT SHIFT ARC_L ARC_L ARC_L SHIFT SHIFT SHIFT ARC_L ARC_L ARC_R SHIFT ARC_R SHIFT SHIFT SHIFT ARC_L ARC_L SHIFT SHIFT SHIFT ARC_L ARC_L SHIFT SHIFT SHIFT ARC_L ARC_L SHIFT SHIFT SHIFT ARC_L ARC_L ARC_R SHIFT SHIFT SHIFT SHIFT ARC_L ARC_L ARC_L SHIFT SHIFT ARC_L ARC_R ARC_R ARC_R ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
Hvis ikke velger de alternativ som kanskje er dårligere . ||| SHIFT ARC_R SHIFT ARC_L SHIFT ARC_R SHIFT SHIFT SHIFT SHIFT SHIFT ARC_L ARC_L ARC_L ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
Han avviser at teksting er et fullgodt alternativ til dubbing . ||| SHIFT ARC_L SHIFT SHIFT SHIFT SHIFT SHIFT SHIFT ARC_L ARC_L ARC_L ARC_L ARC_L SHIFT SHIFT ARC_L ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
- Målgruppen til NRK Super er to til 12 år , og det sier seg selv at ikke alle er gode til å lese . ||| SHIFT SHIFT SHIFT ARC_L SHIFT ARC_R ARC_R SHIFT SHIFT SHIFT SHIFT ARC_L ARC_R SHIFT ARC_L ARC_L ARC_L ARC_L SHIFT ARC_R SHIFT SHIFT SHIFT ARC_L ARC_L SHIFT SHIFT ARC_R ARC_R SHIFT SHIFT SHIFT SHIFT SHIFT ARC_L ARC_L ARC_L ARC_L SHIFT SHIFT SHIFT ARC_L ARC_L ARC_R ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
For å formidle de historiene vi ønsker og gjøre dem mer tilgjengelig for barn er det nødvendig med dubbing . ||| SHIFT SHIFT ARC_L ARC_L SHIFT SHIFT ARC_L SHIFT SHIFT ARC_L ARC_R ARC_R SHIFT SHIFT ARC_L SHIFT ARC_R SHIFT SHIFT ARC_L SHIFT SHIFT ARC_L ARC_R ARC_R ARC_R SHIFT SHIFT SHIFT ARC_L ARC_L ARC_L SHIFT SHIFT ARC_L ARC_R SHIFT ARC_R ARC_R SHIFT
Språkkunnskapene blant barn varierer veldig både aldersmessig og individuelt . ||| SHIFT SHIFT ARC_L ARC_R SHIFT ARC_L SHIFT ARC_R SHIFT SHIFT ARC_L SHIFT SHIFT ARC_L ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
Vi har en del serier hvor det er viktig at man forstår og hører det som blir sagt . ||| SHIFT ARC_L SHIFT SHIFT ARC_L SHIFT ARC_L SHIFT SHIFT SHIFT SHIFT ARC_L ARC_L ARC_L SHIFT SHIFT SHIFT ARC_L ARC_L SHIFT SHIFT ARC_L SHIFT SHIFT SHIFT SHIFT ARC_L ARC_L ARC_R ARC_R ARC_R ARC_R ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
Da går det ofte for fort med teksting . ||| SHIFT ARC_L SHIFT ARC_R SHIFT ARC_R SHIFT SHIFT ARC_L ARC_R SHIFT SHIFT ARC_L ARC_R SHIFT ARC_R ARC_R SHIFT
Vi har testet seriene på barn med og uten dubbing for å se hva de får med seg , og spesielt på tyngre verbale serier er responsen best med dubbing , sier Stokke . ||| SHIFT SHIFT ARC_L ARC_L SHIFT ARC_R SHIFT SHIFT ARC_L ARC_R SHIFT SHIFT SHIFT SHIFT ARC_L ARC_L ARC_R ARC_R SHIFT SHIFT SHIFT ARC_L ARC_L SHIFT SHIFT SHIFT ARC_L ARC_L SHIFT SHIFT ARC_L ARC_R ARC_R ARC_R SHIFT ARC_R SHIFT SHIFT SHIFT SHIFT SHIFT SHIFT ARC_L ARC_L ARC_L ARC_L SHIFT SHIFT SHIFT ARC_L ARC_L ARC_L ARC_L SHIFT SHIFT ARC_L ARC_R SHIFT ARC_R ARC_R SHIFT SHIFT ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
Han mener det å forstå talen på filmen eller serien er avgjørende for barnas opplevelse . ||| SHIFT ARC_L SHIFT SHIFT SHIFT ARC_L SHIFT SHIFT SHIFT ARC_L SHIFT SHIFT ARC_L ARC_R ARC_R ARC_R ARC_R SHIFT SHIFT ARC_L ARC_L SHIFT SHIFT SHIFT ARC_L ARC_L ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
- Når barna forstår hva som skjer , kan ting bli mindre skummelt og gi en bedre opplevelse , sier Stokke . ||| SHIFT SHIFT SHIFT ARC_L ARC_L SHIFT SHIFT SHIFT ARC_L ARC_L ARC_R SHIFT ARC_R SHIFT SHIFT SHIFT ARC_L ARC_L ARC_L ARC_L SHIFT SHIFT ARC_L ARC_R SHIFT SHIFT ARC_L SHIFT SHIFT SHIFT ARC_L ARC_L ARC_R ARC_R SHIFT ARC_R SHIFT SHIFT ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
Ca. 75 prosent av innholdet på NRK Super er produsert i utlandet . ||| SHIFT ARC_L SHIFT ARC_L SHIFT SHIFT ARC_L SHIFT SHIFT ARC_L SHIFT ARC_R ARC_R ARC_R SHIFT SHIFT ARC_L ARC_L SHIFT SHIFT ARC_L ARC_R SHIFT ARC_R ARC_R SHIFT
Men , sier Stokke , de dubber ikke alt . ||| SHIFT ARC_R SHIFT SHIFT ARC_R SHIFT ARC_R SHIFT SHIFT ARC_L ARC_L ARC_L SHIFT ARC_R SHIFT ARC_R SHIFT ARC_R ARC_R SHIFT
Særlig en del av de svenske skolebarnseriene for de største barna dubbes ikke . ||| SHIFT SHIFT ARC_L ARC_L SHIFT SHIFT SHIFT SHIFT ARC_L ARC_L ARC_L SHIFT SHIFT SHIFT SHIFT ARC_L ARC_L ARC_L ARC_R ARC_R SHIFT ARC_L SHIFT ARC_R SHIFT ARC_R ARC_R SHIFT
NRK er dessuten ikke bare NRK Super . ||| SHIFT SHIFT SHIFT SHIFT SHIFT ARC_L ARC_L ARC_L ARC_L ARC_L SHIFT ARC_R SHIFT ARC_R ARC_R SHIFT
Mange barn ser også på NRK1 , 2 og 3 , og der dubber vi ingenting . ||| SHIFT ARC_L SHIFT ARC_L SHIFT ARC_R SHIFT SHIFT ARC_L SHIFT ARC_R SHIFT ARC_R SHIFT SHIFT ARC_L ARC_R ARC_R SHIFT ARC_R SHIFT SHIFT SHIFT ARC_L ARC_L SHIFT ARC_R SHIFT ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
Formelpreget og full av feil ||| SHIFT SHIFT ARC_L SHIFT SHIFT ARC_L ARC_R ARC_R ARC_R SHIFT
Ingrid Bolsø Berdal spiller bedre enn filmen fortjener ||| SHIFT ARC_R SHIFT ARC_R SHIFT ARC_L SHIFT SHIFT SHIFT SHIFT ARC_L ARC_L ARC_R ARC_R ARC_R SHIFT
Ingrid Bolsø Berdal er god som den brutale bandelederen Dagmar . ||| SHIFT ARC_R SHIFT ARC_R SHIFT SHIFT ARC_L ARC_L SHIFT SHIFT SHIFT SHIFT ARC_L ARC_L SHIFT ARC_L ARC_L ARC_R SHIFT ARC_R ARC_R SHIFT
Ellers grunnstøter « Flukt » både psykologisk og historisk . ||| SHIFT ARC_L SHIFT SHIFT ARC_L SHIFT ARC_R ARC_R SHIFT SHIFT ARC_L SHIFT SHIFT ARC_L ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
Akkurat idet du trodde norsk film endelig hadde lagt bak seg sine teatrale talemåter og geberder , sender « Flukt » oss tilbake til hine hårde dage , der du hører radioteaterstemmer om du lukker øynene , og replikker uttales med skriftlig syntaks . ||| SHIFT ARC_L SHIFT SHIFT ARC_L ARC_L SHIFT SHIFT ARC_L SHIFT SHIFT SHIFT ARC_L ARC_L ARC_L SHIFT SHIFT ARC_L ARC_R SHIFT SHIFT SHIFT ARC_L ARC_L SHIFT SHIFT ARC_L ARC_R ARC_R ARC_R SHIFT ARC_R SHIFT ARC_L SHIFT SHIFT ARC_L SHIFT ARC_R ARC_R SHIFT ARC_R SHIFT SHIFT SHIFT SHIFT SHIFT ARC_L ARC_L ARC_L ARC_L SHIFT ARC_R SHIFT SHIFT SHIFT ARC_L ARC_L SHIFT ARC_R SHIFT SHIFT SHIFT ARC_L ARC_L SHIFT ARC_R ARC_R SHIFT ARC_R SHIFT SHIFT SHIFT ARC_L ARC_L SHIFT SHIFT SHIFT ARC_L ARC_L ARC_R ARC_R ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
Innimellom tror jeg knapt mine egne ører og øyne . ||| SHIFT ARC_L SHIFT ARC_R SHIFT ARC_R SHIFT SHIFT SHIFT ARC_L ARC_L SHIFT SHIFT ARC_L ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
Men først , et sammendrag . ||| SHIFT SHIFT ARC_R SHIFT SHIFT ARC_L ARC_L ARC_L SHIFT ARC_R ARC_R SHIFT
Vi skriver 1363 . ||| SHIFT ARC_L SHIFT ARC_R SHIFT ARC_R ARC_R SHIFT
Ti år er gått siden svartedauden utslettet halvparten ; kanskje to tredjedeler av Norges befolkning . ||| SHIFT ARC_L SHIFT SHIFT ARC_L ARC_L SHIFT SHIFT SHIFT ARC_L ARC_L SHIFT SHIFT ARC_R SHIFT SHIFT SHIFT ARC_L ARC_L SHIFT SHIFT SHIFT ARC_L ARC_L ARC_R ARC_R ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
Et sted i fjellet i Sør-Norge herjer en bande fredløse , anført av Dagmar ( Ingrid Bolsø Berdal ) . ||| SHIFT ARC_L SHIFT SHIFT ARC_L SHIFT SHIFT ARC_L ARC_R ARC_R SHIFT ARC_L SHIFT SHIFT ARC_L SHIFT ARC_L SHIFT ARC_R SHIFT SHIFT SHIFT ARC_L SHIFT SHIFT ARC_L SHIFT ARC_R SHIFT ARC_R SHIFT ARC_R ARC_R ARC_R ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
En dag overfaller de en familie på vandring . ||| SHIFT ARC_L SHIFT ARC_L SHIFT ARC_R SHIFT SHIFT ARC_L SHIFT SHIFT ARC_L ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
Unge Signe tas til fange . ||| SHIFT ARC_L SHIFT ARC_L SHIFT SHIFT ARC_L ARC_R SHIFT ARC_R ARC_R SHIFT
Snart blir det klart at hun skal fylle en helt spesiell funksjon . ||| SHIFT ARC_L SHIFT ARC_R SHIFT ARC_R SHIFT SHIFT SHIFT SHIFT ARC_L ARC_L ARC_L SHIFT SHIFT SHIFT ARC_L SHIFT ARC_L ARC_L ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
Folkene bak « Flukt » legger ikke skjul på sine dikteriske friheter . ||| SHIFT SHIFT SHIFT ARC_L ARC_L SHIFT ARC_R ARC_R SHIFT ARC_L SHIFT ARC_R SHIFT ARC_R SHIFT SHIFT SHIFT SHIFT ARC_L ARC_L ARC_L ARC_R SHIFT ARC_R ARC_R SHIFT
Filmen spiller på myter , og slik må det være , all den tid mye av historikken rundt tiden før og etter svartedauden fortsatt er uklar . ||| SHIFT ARC_L SHIFT SHIFT ARC_L ARC_R SHIFT ARC_R SHIFT SHIFT SHIFT SHIFT SHIFT ARC_L ARC_L ARC_L ARC_L SHIFT ARC_R SHIFT SHIFT SHIFT ARC_L ARC_L SHIFT SHIFT SHIFT ARC_L SHIFT SHIFT ARC_L SHIFT SHIFT SHIFT SHIFT ARC_L ARC_L ARC_R ARC_R ARC_R ARC_R SHIFT SHIFT SHIFT ARC_L ARC_L ARC_L ARC_L ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
Samtidig vektlegger pressematerialet det som finnes av fakta om svartedauden . ||| SHIFT ARC_L SHIFT ARC_R SHIFT SHIFT SHIFT ARC_L SHIFT SHIFT ARC_L SHIFT SHIFT ARC_L ARC_R ARC_R ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
Så jeg antar at filmskapernes ønske har vært å lage en veldreid spenningsfilm med en konkret historisk epoke som bakteppe . ||| SHIFT SHIFT ARC_L ARC_L SHIFT SHIFT SHIFT ARC_L SHIFT SHIFT SHIFT SHIFT ARC_L ARC_L ARC_L ARC_L ARC_L SHIFT SHIFT SHIFT ARC_L ARC_L SHIFT SHIFT SHIFT SHIFT SHIFT ARC_L ARC_L ARC_L ARC_L SHIFT SHIFT ARC_L ARC_R ARC_R ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
Viljen til historisk korrekt drama gjenspeiles i kostymene og det lille som finnes av scenografi . ||| SHIFT SHIFT SHIFT ARC_L SHIFT ARC_L ARC_L ARC_R SHIFT ARC_L SHIFT SHIFT ARC_L SHIFT SHIFT SHIFT ARC_L ARC_L SHIFT SHIFT ARC_L SHIFT SHIFT ARC_L ARC_R ARC_R ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
Her virker detaljene gjennomførte og autentiske . ||| SHIFT ARC_L SHIFT ARC_R SHIFT SHIFT SHIFT ARC_L ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
Synd , derfor , at de ikke kostet på seg en språkkonsulent eller to , og litt historisk veiledning . ||| SHIFT ARC_R SHIFT ARC_R SHIFT ARC_R SHIFT SHIFT SHIFT SHIFT ARC_L ARC_L ARC_L SHIFT SHIFT ARC_L ARC_R SHIFT SHIFT ARC_L SHIFT SHIFT ARC_L ARC_R SHIFT ARC_R SHIFT SHIFT SHIFT SHIFT ARC_L ARC_L ARC_L ARC_R ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
Frem mot rundt 1350 snakket man norrøne dialekter i Norge . ||| SHIFT SHIFT SHIFT ARC_L ARC_L ARC_L SHIFT ARC_L SHIFT ARC_R SHIFT SHIFT ARC_L ARC_R SHIFT SHIFT ARC_L ARC_R SHIFT ARC_R ARC_R SHIFT
Først på 1500-tallet begynte man å snakke et språk vi i dag ville forstått . ||| SHIFT SHIFT ARC_L ARC_L SHIFT ARC_L SHIFT ARC_R SHIFT SHIFT ARC_L SHIFT SHIFT ARC_L SHIFT SHIFT SHIFT ARC_L SHIFT SHIFT ARC_L ARC_L ARC_L ARC_R ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
I « Flukt » snakker de østlandsk som vandret de gatelangs på Grünerløkka , trøndersk som gikk de langs Nordre , og sørlandsk som på en sommerdag i Markens . ||| SHIFT SHIFT ARC_L ARC_L SHIFT ARC_R SHIFT ARC_L SHIFT ARC_R SHIFT SHIFT SHIFT ARC_L SHIFT ARC_R SHIFT SHIFT SHIFT ARC_L ARC_L ARC_R ARC_R ARC_R SHIFT ARC_R SHIFT SHIFT SHIFT ARC_L SHIFT ARC_R SHIFT SHIFT ARC_L ARC_R ARC_R ARC_R SHIFT ARC_R SHIFT SHIFT ARC_L SHIFT SHIFT SHIFT SHIFT ARC_L ARC_L ARC_L SHIFT SHIFT ARC_L ARC_R ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
De hadde ikke behøvd å snakke gammelnorsk . ||| SHIFT SHIFT SHIFT ARC_L ARC_L ARC_L SHIFT SHIFT ARC_L SHIFT ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
Men en varsom , språklig tillemping til tidsmessig mer troverdige dialekter og talemåter , kombinert med en kraftig utluking av anakronismer , ville gitt en helt annen autentisitet . ||| SHIFT SHIFT SHIFT ARC_R SHIFT SHIFT ARC_L ARC_L ARC_L SHIFT SHIFT SHIFT ARC_L SHIFT ARC_L SHIFT ARC_L ARC_L SHIFT SHIFT ARC_L ARC_R ARC_R SHIFT ARC_R SHIFT SHIFT SHIFT SHIFT SHIFT ARC_L ARC_L ARC_L SHIFT SHIFT ARC_L ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT SHIFT ARC_L ARC_L ARC_L SHIFT SHIFT SHIFT ARC_L SHIFT ARC_L ARC_L ARC_R SHIFT ARC_R ARC_R SHIFT
I stedet får vi latterligheter som « Bare slapp av , du ! » , hvest opp i Signes ansikt av en fredløs , nummeret før han forsøker å voldta og drepe henne . ||| SHIFT ARC_L SHIFT ARC_L SHIFT ARC_R SHIFT SHIFT SHIFT SHIFT SHIFT ARC_L ARC_L ARC_L SHIFT ARC_R SHIFT ARC_R SHIFT ARC_R SHIFT ARC_R SHIFT ARC_R ARC_R ARC_R SHIFT ARC_R SHIFT SHIFT SHIFT SHIFT SHIFT ARC_L ARC_L ARC_L ARC_R SHIFT SHIFT SHIFT ARC_L ARC_L ARC_R SHIFT ARC_R SHIFT SHIFT SHIFT SHIFT ARC_L ARC_L SHIFT SHIFT ARC_L SHIFT SHIFT ARC_L SHIFT ARC_R ARC_R ARC_R ARC_R ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
« Heks ! ||| SHIFT ARC_L SHIFT ARC_R ARC_R SHIFT
» roper Signe til Dagmar , 300 år før det tyske begrepet overhodet ble tatt i bruk i Norge . ||| SHIFT ARC_L SHIFT ARC_R SHIFT SHIFT ARC_L ARC_R SHIFT ARC_R SHIFT SHIFT ARC_L SHIFT ARC_L SHIFT SHIFT SHIFT ARC_L ARC_L SHIFT SHIFT SHIFT ARC_L ARC_L ARC_L ARC_L SHIFT SHIFT ARC_L ARC_R SHIFT SHIFT ARC_L ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
Og sannelig innføres like godt hekseprosessen og dens metoder , rundt 200 år før den - og reformasjonen , som hekseprosessen henger nøye sammen med - faktisk kom til Norge . ||| SHIFT SHIFT ARC_L ARC_L SHIFT SHIFT ARC_L ARC_R SHIFT SHIFT SHIFT SHIFT ARC_L ARC_L ARC_R ARC_R SHIFT ARC_R SHIFT SHIFT ARC_L SHIFT ARC_L SHIFT ARC_L SHIFT SHIFT ARC_R SHIFT SHIFT ARC_L SHIFT ARC_R SHIFT SHIFT SHIFT ARC_L ARC_L SHIFT ARC_R SHIFT SHIFT ARC_L ARC_R ARC_R ARC_R SHIFT ARC_R SHIFT SHIFT ARC_L ARC_L ARC_L SHIFT SHIFT ARC_L ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
Selv innenfor røverhistoriens rammer er det et drøyt stykke kunstnerisk frihet å ta i en film som så uttalt ønsker å plassere seg i et historisk landskap . ||| SHIFT SHIFT SHIFT ARC_L ARC_L ARC_L SHIFT SHIFT SHIFT SHIFT SHIFT ARC_L ARC_L SHIFT SHIFT ARC_L ARC_L ARC_L ARC_L ARC_L SHIFT SHIFT ARC_L SHIFT SHIFT SHIFT ARC_L ARC_L SHIFT SHIFT SHIFT ARC_L SHIFT ARC_L ARC_L SHIFT SHIFT ARC_L SHIFT ARC_R SHIFT SHIFT SHIFT SHIFT ARC_L ARC_L ARC_L ARC_R ARC_R ARC_R ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
Som spenningsfilm har « Flukt » sine øyeblikk av rå brutalitet . ||| SHIFT ARC_L SHIFT ARC_L SHIFT SHIFT ARC_L SHIFT ARC_R ARC_R SHIFT SHIFT ARC_L SHIFT SHIFT SHIFT ARC_L ARC_L ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
Men virkemidlene er enkle og lett gjennomskuelige . ||| SHIFT SHIFT SHIFT ARC_L ARC_L ARC_L SHIFT SHIFT SHIFT ARC_L ARC_L ARC_R SHIFT ARC_R ARC_R SHIFT
Dramaturgisk følger filmen en uhyre skjematisk , formelpreget struktur . ||| SHIFT ARC_L SHIFT ARC_R SHIFT SHIFT SHIFT ARC_L SHIFT ARC_R SHIFT SHIFT ARC_L ARC_L ARC_L ARC_R SHIFT ARC_R ARC_R SHIFT
Bortsett fra et par scener med appell til sitrende høydeskrekk , drepes spenningen i overspill og affekterte fakter . ||| SHIFT SHIFT SHIFT ARC_L SHIFT ARC_L ARC_L SHIFT SHIFT ARC_L SHIFT SHIFT SHIFT ARC_L ARC_L ARC_R ARC_R ARC_R SHIFT ARC_R SHIFT ARC_L SHIFT ARC_R SHIFT SHIFT ARC_L SHIFT SHIFT SHIFT ARC_L ARC_L ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
Filmen er under halvannen time , og føles likevel ubegripelig lang . ||| SHIFT SHIFT SHIFT ARC_L SHIFT ARC_L ARC_L ARC_L SHIFT ARC_R SHIFT SHIFT ARC_L SHIFT ARC_R SHIFT SHIFT ARC_L ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
Ingrid Bolsø Berdal prøver å gjøre trøndersk til et hardt språk . ||| SHIFT ARC_R SHIFT ARC_R SHIFT ARC_L SHIFT SHIFT ARC_L SHIFT ARC_R SHIFT SHIFT SHIFT SHIFT ARC_L ARC_L ARC_L ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
Av og til lykkes hun , også . ||| SHIFT SHIFT ARC_L ARC_R SHIFT ARC_L SHIFT ARC_R SHIFT ARC_R SHIFT ARC_R SHIFT ARC_R ARC_R SHIFT
Hun har noe dyrisk , skånselsløst ved seg . ||| SHIFT ARC_L SHIFT SHIFT ARC_L SHIFT ARC_R SHIFT ARC_R ARC_R SHIFT SHIFT ARC_L ARC_R SHIFT ARC_R ARC_R SHIFT
Det nesten mimikkløse ansiktet sender tankene til Charlize Therons spill i « Monster » . ||| SHIFT SHIFT ARC_L SHIFT ARC_L ARC_L SHIFT ARC_L SHIFT ARC_R SHIFT SHIFT SHIFT ARC_R SHIFT ARC_L ARC_L SHIFT SHIFT SHIFT ARC_L ARC_L SHIFT ARC_R ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
Filmen skal ha ros for sitt forsøk på å lage en actionfilm der rollefigurene har dybde , og kvinneskikkelser tæl . ||| SHIFT SHIFT ARC_L ARC_L SHIFT ARC_R SHIFT SHIFT SHIFT ARC_L ARC_L SHIFT SHIFT SHIFT ARC_L ARC_L SHIFT SHIFT ARC_L SHIFT SHIFT SHIFT ARC_L ARC_L SHIFT ARC_R SHIFT ARC_R SHIFT SHIFT ARC_L SHIFT ARC_R ARC_R ARC_R ARC_R ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
Problemet er at den ikke borer dypt nok . ||| SHIFT SHIFT SHIFT SHIFT SHIFT ARC_L ARC_L ARC_L ARC_L ARC_L SHIFT SHIFT ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
Psykologien blir sentimental . ||| SHIFT ARC_L SHIFT ARC_R SHIFT ARC_R ARC_R SHIFT
I tilfellet Dagmar blir den en ren klisjé . ||| SHIFT SHIFT ARC_L ARC_L SHIFT ARC_L SHIFT ARC_R SHIFT SHIFT SHIFT ARC_L ARC_L ARC_R SHIFT ARC_R ARC_R SHIFT
Sett bort fra det språklige skurret , er det også et fint samspill mellom Signe ( Isabel Christine Andreasen ) og vesle Frigg ( Milla Olin ) , som Signe flykter sammen med . ||| SHIFT SHIFT SHIFT SHIFT SHIFT ARC_L ARC_L ARC_L ARC_L ARC_R SHIFT ARC_R SHIFT ARC_L SHIFT ARC_R SHIFT ARC_R SHIFT SHIFT SHIFT ARC_L ARC_L SHIFT SHIFT ARC_L SHIFT SHIFT ARC_L SHIFT ARC_R SHIFT ARC_R SHIFT ARC_R ARC_R SHIFT SHIFT SHIFT ARC_L ARC_L SHIFT SHIFT ARC_L SHIFT ARC_R SHIFT ARC_R ARC_R SHIFT ARC_R SHIFT SHIFT SHIFT ARC_L ARC_L SHIFT SHIFT ARC_L ARC_R ARC_R ARC_R ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
Rent teknisk er det lite å utsette på produksjonen . ||| SHIFT ARC_L SHIFT ARC_L SHIFT ARC_R SHIFT SHIFT SHIFT ARC_L SHIFT SHIFT ARC_L ARC_R ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
« Flukt » er vakkert filmet , med storslåtte tagninger i praktfull , norsk natur . ||| SHIFT ARC_L SHIFT ARC_R SHIFT SHIFT SHIFT ARC_L ARC_L ARC_L SHIFT ARC_R SHIFT SHIFT SHIFT ARC_L ARC_L SHIFT SHIFT SHIFT ARC_R SHIFT SHIFT ARC_L ARC_L ARC_L ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
Slik sett er det forståelig at den allerede har solgt i bøtter og spann til utlandet . ||| SHIFT ARC_L SHIFT SHIFT SHIFT ARC_L ARC_L ARC_L SHIFT SHIFT SHIFT SHIFT SHIFT ARC_L ARC_L ARC_L ARC_L SHIFT SHIFT ARC_L SHIFT SHIFT ARC_L ARC_R ARC_R SHIFT SHIFT ARC_L ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
- Åh , no blir eg varm i håvve ! ||| SHIFT ARC_L SHIFT ARC_R SHIFT ARC_R SHIFT ARC_R SHIFT ARC_R SHIFT ARC_R SHIFT ARC_R SHIFT ARC_R SHIFT ARC_R ARC_R SHIFT
Fire bergenskjendiser om Instagram ||| SHIFT ARC_L SHIFT SHIFT ARC_L ARC_R ARC_R SHIFT
Jette Christensen , stortingspolitiker for Ap : ||| SHIFT ARC_R SHIFT ARC_R SHIFT SHIFT SHIFT ARC_L ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
Mia Hundvin , eks-håndballspiller og ekspertkommentator : ||| SHIFT ARC_R SHIFT ARC_R SHIFT SHIFT SHIFT ARC_L ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
Erna Solberg , stortingsrepresentant Høyre : ||| SHIFT ARC_R SHIFT ARC_R SHIFT SHIFT ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
Leo Ajkic , programleder i NRK og manager : ||| SHIFT ARC_R SHIFT ARC_R SHIFT SHIFT SHIFT ARC_L ARC_R SHIFT SHIFT ARC_L ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
Hva tenker Mia Hundvin om Instagram-bildene hun nettopp har lagt ut ? ||| SHIFT ARC_L SHIFT SHIFT ARC_R ARC_R SHIFT SHIFT ARC_L SHIFT SHIFT SHIFT SHIFT ARC_L ARC_L ARC_L SHIFT ARC_R ARC_R ARC_R SHIFT ARC_R ARC_R SHIFT
